date,olive_oil_cost,eggs_cost,garlic_cost,energy_cost,index
2025-03-06 23:00:00,412.5,260.5,269.8,90.27,3925.22
2025-03-07 00:00:00,412.5,260.5,269.8,87.34150621123422,3922.2915062112343
2025-03-07 01:00:00,412.5,260.5,269.8,85.47911353143652,3920.4291135314365
2025-03-07 02:00:00,412.5,260.5,269.8,83.93966429251077,3918.8896642925106
2025-03-07 03:00:00,412.5,260.5,269.8,86.81909098650986,3921.7690909865096
2025-03-07 04:00:00,412.5,260.5,269.8,91.9282702903215,3926.8782702903213
2025-03-07 05:00:00,412.5,260.5,269.8,115.65145806565315,3950.601458065653
2025-03-07 06:00:00,412.5,260.5,269.8,136.01592941774788,3970.9659294177477
2025-03-07 07:00:00,412.5,260.5,269.8,119.89499384216819,3954.844993842168
2025-03-07 08:00:00,412.5,260.5,269.8,94.51845351037248,3929.4684535103725
2025-03-07 09:00:00,412.5,260.5,269.8,69.60797281327126,3904.557972813271
2025-03-07 10:00:00,412.5,260.5,269.8,44.17363588641615,3879.123635886416
2025-03-07 11:00:00,412.5,260.5,269.8,35.61074722789206,3870.560747227892
2025-03-07 12:00:00,412.5,260.5,269.8,33.69096816843798,3868.6409681684377
2025-03-07 13:00:00,412.5,260.5,269.8,47.48486804294342,3882.4348680429434
2025-03-07 14:00:00,412.5,260.5,269.8,79.26581144045804,3914.215811440458
2025-03-07 15:00:00,412.5,260.5,269.8,108.0672773612909,3943.017277361291
2025-03-07 16:00:00,412.5,260.5,269.8,140.16308739500204,3975.113087395002
2025-03-07 17:00:00,412.5,260.5,269.8,157.33377339971517,3992.283773399715
2025-03-07 18:00:00,412.5,260.5,269.8,146.50249942572736,3981.452499425727
2025-03-07 19:00:00,412.5,260.5,269.8,125.70573230035174,3960.6557323003517
2025-03-07 20:00:00,412.5,260.5,269.8,109.66521970244646,3944.615219702446
2025-03-07 21:00:00,412.5,260.5,269.8,106.30990446911791,3941.259904469118
2025-03-07 22:00:00,412.5,260.5,269.8,97.79944065227251,3932.7494406522724
2025-03-07 23:00:00,412.5,260.5,269.8,94.05202752568334,3929.002027525683
2025-03-08 00:00:00,412.5,260.5,269.8,89.50531542517703,3924.4553154251767
2025-03-08 01:00:00,412.5,260.5,269.8,87.4204756987613,3922.3704756987613
2025-03-08 02:00:00,412.5,260.5,269.8,85.74333786535979,3920.69333786536
2025-03-08 03:00:00,412.5,260.5,269.8,88.34614354807591,3923.2961435480756
2025-03-08 04:00:00,412.5,260.5,269.8,93.90963773726017,3928.85963773726
2025-03-08 05:00:00,412.5,260.5,269.8,115.61288775309602,3950.5628877530958
2025-03-08 06:00:00,412.5,260.5,269.8,136.8620623042611,3971.812062304261
2025-03-08 07:00:00,412.5,260.5,269.8,123.53170650768406,3958.481706507684
2025-03-08 08:00:00,412.5,260.5,269.8,98.60440348748762,3933.5544034874874
2025-03-08 09:00:00,412.5,260.5,269.8,74.01872537231448,3908.968725372314
2025-03-08 10:00:00,412.5,260.5,269.8,50.75301135120718,3885.703011351207
2025-03-08 11:00:00,412.5,260.5,269.8,41.672636400418256,3876.6226364004183
2025-03-08 12:00:00,412.5,260.5,269.8,39.520695127854914,3874.470695127855
2025-03-08 13:00:00,412.5,260.5,269.8,53.34272591243478,3888.2927259124344
2025-03-08 14:00:00,412.5,260.5,269.8,82.35656290649204,3917.3065629064918
2025-03-08 15:00:00,412.5,260.5,269.8,109.36656978704082,3944.316569787041
2025-03-08 16:00:00,412.5,260.5,269.8,141.3836534285474,3976.333653428547
2025-03-08 17:00:00,412.5,260.5,269.8,158.58983784688763,3993.5398378468876
2025-03-08 18:00:00,412.5,260.5,269.8,148.28223207996126,3983.2322320799612
2025-03-08 19:00:00,412.5,260.5,269.8,127.72016590239927,3962.6701659023993
2025-03-08 20:00:00,412.5,260.5,269.8,111.94677594319717,3946.896775943197
2025-03-08 21:00:00,412.5,260.5,269.8,108.7372937527926,3943.6872937527924
2025-03-08 22:00:00,412.5,260.5,269.8,100.37796278272783,3935.327962782728
2025-03-08 23:00:00,412.5,260.5,269.8,96.2849052599824,3931.234905259982
2025-03-09 00:00:00,412.5,260.5,269.8,91.52808791785398,3926.478087917854
2025-03-09 01:00:00,412.5,260.5,269.8,89.37985948911752,3924.3298594891176
2025-03-09 02:00:00,412.5,260.5,269.8,87.64897247038363,3922.5989724703836
2025-03-09 03:00:00,412.5,260.5,269.8,90.18428819128243,3925.1342881912824
2025-03-09 04:00:00,412.5,260.5,269.8,95.7575223785993,3930.707522378599
2025-03-09 05:00:00,412.5,260.5,269.8,117.2125630246862,3952.162563024686
2025-03-09 06:00:00,412.5,260.5,269.8,138.51806708266764,3973.4680670826674
2025-03-09 07:00:00,412.5,260.5,269.8,125.44412791703616,3960.394127917036
2025-03-09 08:00:00,412.5,260.5,269.8,100.52917085893694,3935.479170858937
2025-03-09 09:00:00,412.5,260.5,269.8,75.9435879674127,3910.8935879674127
2025-03-09 10:00:00,412.5,260.5,269.8,52.871534551291255,3887.8215345512913
2025-03-09 11:00:00,412.5,260.5,269.8,43.704659897862335,3878.654659897862
2025-03-09 12:00:00,412.5,260.5,269.8,41.49677960717279,3876.4467796071726
2025-03-09 13:00:00,412.5,260.5,269.8,55.29080051243479,3890.240800512435
2025-03-09 14:00:00,412.5,260.5,269.8,83.98501364274036,3918.93501364274
2025-03-09 15:00:00,412.5,260.5,269.8,110.77810476952527,3945.728104769525
2025-03-09 16:00:00,412.5,260.5,269.8,142.75804641805283,3977.7080464180526
